title,authors,year,description,url,citations
Does green finance promote renewable energy? Evidence from China,"CC Lee, F Wang, YF Chang",2023.0,"… from the perspective of green finance. The results show that green finance directly promotes 
… Compared to traditional renewable energy, green finance plays a stronger role in promoting …",https://www.sciencedirect.com/science/article/pii/S0301420723001472,165
Quantum computing for finance,"D Herman, C Googin, X Liu, Y Sun, A Galda",2023.0,"Quantum computers are expected to surpass the computational capabilities of classical 
computers and have a transformative impact on numerous industry sectors. We present a …",https://www.nature.com/articles/s42254-023-00603-1,155
An empirical assessment of empirical corporate finance,"JL Coles, ZF Li",2023.0,"… finance field in several dimensions. First, we expand the empirical corporate finance literature 
… directions for empiricists and theorists in corporate finance. Fourth, our approach allows us …",https://www.cambridge.org/core/journals/journal-of-financial-and-quantitative-analysis/article/an-empirical-assessment-of-empirical-corporate-finance/55844F11BBD0F965BFCDA1D34B4DB9AE,124
Digital finance and the low-carbon energy transition (LCET) from the perspective of capital-biased technical progress,"G Li, H Wu, J Jiang, Q Zong",2023.0,"… Traditional finance is limited by cost and … finance, 3 digital finance contributes to LCET by 
creating an efficient and sustainable new financial model. The concept of digital finance can be …",https://www.sciencedirect.com/science/article/pii/S0140988323001214,114
The colour of finance words,"D Garcia, X Hu, M Rohrer",2023.0,"Our paper relies on stock price reactions to colour words, in order to provide new dictionaries 
of positive and negative words in a finance context. We extend the machine learning …",https://www.sciencedirect.com/science/article/pii/S0304405X22002422,96
COVID-19 and finance scholarship: A systematic and bibliometric analysis,"S Boubaker, JW Goodell, S Kumar, R Sureka",2023.0,"… However, it is important now for the finance scholarly community to begin to take the scope 
… of finance, including its foundational theories. Has what we thought we knew about finance …",https://www.sciencedirect.com/science/article/pii/S1057521922004082,78
"Mergers and acquisitions research in finance and accounting: Past, present, and future","D Cumming, V Jindal, S Kumar",2023.0,"… of finance and accounting scholars, we apply an additional filter to keep only those articles 
that got published in finance … from 52 journals in the finance and accounting areas over the …",https://onlinelibrary.wiley.com/doi/abs/10.1111/eufm.12417,75
A bibliometric analysis of cultural finance,"JW Goodell, S Kumar, O Lahmar, N Pandey",2023.0,"… in the domain of culture and finance to present its current … finance research. To this end, 
we offer a bibliometric analysis of cultural finance research as specifically occurring in finance …",https://www.sciencedirect.com/science/article/pii/S1057521922003921,71
Has green finance optimized the industrial structure in China?,"J Hu, H Zhang",2023.0,"… of the green finance reform and innovation pilot zone, the impact of the green finance reform 
and … product of green finance, it is essential to explore the effect of green finance on the …",https://link.springer.com/article/10.1007/s11356-022-24514-3,67
[BOOK][B] Finance: the basics,E Banks,2023.0,"Now in its fourth edition, Finance: The Basics is a clear and practical introduction to the 
world of finance. It thoroughly explains essential financial statements, tools, and concepts; …",https://www.taylorfrancis.com/books/mono/10.4324/9781003343776/finance-erik-banks,63
Impact of digital finance on energy efficiency: Empirical findings from China,"Z Fu, Y Zhou, W Li, K Zhong",2023.0,"… for the impact of digital inclusive finance on energy efficiency from the breadth of … finance. 
In addition, this paper examines the differences in the impact of digital inclusive finance on …",https://link.springer.com/article/10.1007/s11356-022-22320-5,61
Digital inclusive finance and digital transformation of enterprises,"B Guo, Y Feng, J Lin",2023.0,"This paper evaluates the impact of digital inclusive finance (DIF) on enterprise digital 
transformation (EDT) using a two-way fixed effects model. The results show that DIF can …",https://www.sciencedirect.com/science/article/pii/S1544612323006426,59
Fintech: Emerging trends and the future of finance,H Taherdoost,2023.0,"The rapid growth of technology has influenced different industry sectors including the 
financial sector. The world of finance and banking is transformed significantly replacing …",https://link.springer.com/chapter/10.1007/978-3-031-17998-3_2,51
Big Data Analysis in Finance Management,SR Byrapu,2023.0,"… landscape of ML applications in finance, identifying three primary types: … finance research. 
Numerous comprehensive papers have underscored the potential of ML in the realm of finance…",https://publishoa.com/index.php/journal/article/view/1469,28
[BOOK][B] State and local public finance,RC Fisher,2022.0,"… and analysis of public finance practices and problems in a federal … are used to produce and 
finance services and to provide … who study public finance, local government finance, urban …",https://www.taylorfrancis.com/books/mono/10.4324/9781003030645/state-local-public-finance-ronald-fisher,997
How does green finance affect green total factor productivity? Evidence from China,"CC Lee, CC Lee",2022.0,"… a green finance policy can further enhance the impact of green finance development. 
The empirical results herein offer policy implications to China's green finance planning and …",https://www.sciencedirect.com/science/article/pii/S0140988322000469,851
[BOOK][B] Public finance: A normative theory,RW Tresch,2022.0,"… The second-best analysis concludes with one chapter on behavioral public finance, which 
is motivated as a challenge to the mainstream normative theory. I then include three chapters …",https://books.google.com/books?hl=en&lr=&id=9ys_EAAAQBAJ&oi=fnd&pg=PP1&dq=finance&ots=b4VtozL_in&sig=gmDiUt1po-C98ppr6qlI-Je6N_g,794
[BOOK][B] Corporate finance: theory and practice,"P Vernimmen, P Quiry, Y Le Fur",2022.0,"… discussions of finance techniques with applications in those situations. Corporate Finance is 
… green and sustainable finance that is transforming the way companies finance themselves. …",https://books.google.com/books?hl=en&lr=&id=45VWEAAAQBAJ&oi=fnd&pg=PR8&dq=finance&ots=pv5O3IHYXk&sig=N0RikTaj8l_3eX2Sx393_XreMAs,672
Count (and count-like) data in finance,"JB Cohn, Z Liu, MI Wardlaw",2022.0,"This paper assesses different econometric approaches to working with count-based outcome 
variables and other outcomes with similar distributions, which are increasingly common in …",https://www.sciencedirect.com/science/article/pii/S0304405X2200174X,639
"Environmental decentralization, digital finance and green technology innovation","S Feng, R Zhang, G Li",2022.0,"… This paper seeks new solutions using digital finance to solve this dilemma. Using panel … 
impact of digital finance on green technology innovation. The results show that (1) digital finance …",https://www.sciencedirect.com/science/article/pii/S0954349X22000170,544
Role of green finance in improving energy efficiency and renewable energy development,"E Rasoulinezhad, F Taghizadeh",2022.0,"Deploying green energy is, directly and indirectly, related to energy- and environment-related 
sustainable development goals (SDGs). This study uses the stochastic impact by …",https://link.springer.com/article/10.1007/S12053-022-10021-4,490
[HTML][HTML] The role of green finance in reducing CO2 emissions: An empirical analysis,"MS Meo, MZ Abd Karim",2022.0,"… of the top ten countries that support green finance (Canada, Denmark, Hong Kong, … finance 
on environmental variables, this study presents a pioneering examination of green finance …",https://www.sciencedirect.com/science/article/pii/S2214845021000223,453
"A review of studies on green finance of banks, research gaps and future directions",I Akomea,2022.0,"… recently focused on green finance. In this study, existing studies on green finance in the context 
… on products and determinants of green finance. The content analysis approach has been …",https://www.tandfonline.com/doi/abs/10.1080/20430795.2020.1870202,435
Sok: Decentralized finance (defi),"S Werner, D Perez, L Gudgeon",2022.0,"Decentralized Finance (DeFi), a blockchain powered peer-to-peer financial system, is 
mushrooming. Two years ago the total value locked in DeFi systems was approximately 700m …",https://dl.acm.org/doi/abs/10.1145/3558535.3559780,434
"Past, present, and future of sustainable finance: insights from big data analytics through machine learning of scholarly research","S Kumar, D Sharma, S Rao, WM Lim",2022.0,"… finance research. In addition, this study reveals insights into seven major themes of 
sustainable finance … several suggestions for future sustainable finance research, which include …",https://link.springer.com/article/10.1007/s10479-021-04410-8,394
"The effect of digital marketing, digital finance and digital payment on finance performance of indonesian smes","I Daud, D Nurjannahe, A Mohyi",2022.0,"… of digital finance, digital marketing and digital payment variables on finance performance. … 
that the digital finance had a positive and significant effect on the finance performance, the …",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3965339,239
Impacts of green finance on green innovation: a spatial and nonlinear perspective,"Y Huang, C Chen, L Lei, Y Zhang",2022.0,"This paper provides an in-depth understanding of the mechanisms of green finance on green 
innovation, focusing on their spatial and non-linear relationships. Using panel data of 30 …",https://www.sciencedirect.com/science/article/pii/S0959652622021497,234
[CITATION][C] Cryptocurrencies and Decentralized Finance (DeFi),I Makarov,2022.0,,No URL,217
Presidential address: Corporate finance and reality,JR Graham,2022.0,"… In a corporate finance setting, we can directly obtain this … detailed information about the 
practice of finance that can be used to … Some of this analysis is new to finance, such as that …",https://onlinelibrary.wiley.com/doi/abs/10.1111/jofi.13161,206
Promoting China's inclusive finance through digital financial services,"MM Hasan, L Yajuan, S Khan",2022.0,"… and digital finance lead the traditional inclusive finance to promoted inclusive finance. 
Whatever, in this research, the implications of DFS on promoting inclusive finance are presented …",https://journals.sagepub.com/doi/abs/10.1177/0972150919895348,204
[PDF][PDF] Green finance and sustainable development in Europe,"A Afzal, E Rasoulinezhad, Z Malik",2022.0,"This study provides a comprehensive analysis of whether financial development impacts 
environmental degradation, over time. It highlights how financial development, institutional …",https://hrcak.srce.hr/file/436622,192
Does digital finance promote the green innovation of China's listed companies?,"X Li, X Shao, T Chang, LL Albu",2022.0,"… finance in China has been having an increasingly extensive impact. In this context, this research 
is devoted to testing the role of digital finance … % increase in digital finance will lead to a …",https://www.sciencedirect.com/science/article/pii/S0140988322003954,179
The impact of digital inclusive finance on sustainable economic growth in China,"Y Sun, X Tang",2022.0,"… finance contributes to sustainable economic growth. Further research shows that digital 
inclusive finance … At the same time, we find that the breadth of digital inclusive finance coverage …",https://www.sciencedirect.com/science/article/pii/S1544612322004342,127
Digital inclusive finance and rural consumption structure–evidence from Peking University digital inclusive financial index and China household finance survey,"C Yu, N Jia, W Li, R Wu",2022.0,"… finance on rural consumption upgrade. First, the impact of the development of digital inclusive 
finance on … of users that digital inclusive finance influencing rural residents’ developmental …",https://www.emerald.com/insight/content/doi/10.1108/CAER-10-2020-0255/full/html,125
Digital inclusive finance and urban innovation: Evidence from China,"J Li, B Li",2022.0,"… to estimate the pure effect of digital inclusive finance on urban innovation. The results … 
finance has a positive effect on urban innovation. In addition, we find that digital inclusive finance …",https://onlinelibrary.wiley.com/doi/abs/10.1111/rode.12846,111
Imperative role of integrating digitalization in the firms finance: A technological perspective,"D Bisht, R Singh, A Gehlot, SV Akram, A Singh",2022.0,"… of Internet finance are used in order to provide various users with financing services such 
as platform finance, supply chain finance, and consumer finance. Internet finance platforms …",https://www.mdpi.com/2079-9292/11/19/3252,106
Sustainable finance,"A Edmans, M Kacperczyk",2022.0,"Sustainable finance—the integration of environmental, social, and governance (“ESG”) 
issues into financial decisions—is an increasingly important topic. Within companies, …",https://academic.oup.com/rof/article-abstract/26/6/1309/6780005,106
Can digital finance help increase the value of strategic emerging enterprises?,"X Tang, S Ding, X Gao, T Zhao",2022.0,"… In this paper, with the help of the inclusive finance Index of Digital Finance compiled by 
the Peking University internet Finance Research Center, based on the data provided by Ant …",https://www.sciencedirect.com/science/article/pii/S2210670722001561,100
Digital finance and corporate bankruptcy risk: Evidence from China,"Y Ji, L Shi, S Zhang",2022.0,"… Using the digital finance index developed by PKU-DFIIC to … regional digital finance, we find 
that digital finance negatively … finance literature by identifying the impact of digital finance on …",https://www.sciencedirect.com/science/article/pii/S0927538X22000269,99
Female representation in the academic finance profession,"MG Sherman, HE Tookes",2022.0,"… In our sample of finance faculty from the top-100 US business schools over the 2009 to … in 
the academic finance profession. First, focusing on the population of finance faculty during our …",https://onlinelibrary.wiley.com/doi/abs/10.1111/jofi.13094,79
AND FINANCE,"IS Beik, T Nursyamsiah",2022.0,"Islamic economics and finance have developed rapidly throughout the world. The Islamic 
economic and finance industry has thrived in both Muslim and non-Muslim countries. The …",https://books.google.com/books?hl=en&lr=&id=zncIEQAAQBAJ&oi=fnd&pg=PA29&dq=finance&ots=nxyygjoW_Q&sig=W-x_03lRHvSuTSs4SWzb0GLGpdw,76
Methodological variation in empirical corporate finance,T Mitton,2022.0,"I document large variation in empirical methodology in corporate finance regressions in top 
finance journals. Although methodological variation allows for customization of empirical …",https://academic.oup.com/rfs/article-abstract/35/2/527/6174003,72
Research on digital inclusive finance promoting the integration of rural three-industry,"H Ge, B Li, D Tang, H Xu, V Boamah",2022.0,"… to reforming how finance assists rural tertiary industries in China, finance and the rural … 
finance in rural tertiary industries [3]. However, at present, China’s digital inclusive finance to …",https://www.mdpi.com/1660-4601/19/6/3363,71
[HTML][HTML] The use of predictive analytics in finance,D Broby,2022.0,"… analytic methods in finance together under one domain. … methods are used by scholars in 
finance, and in computational fields … Finance is a broad term associated with activities in capital …",https://www.sciencedirect.com/science/article/pii/S2405918822000071,71
What's holding back blockchain finance? On the possibility of decentralized autonomous finance,"C Harwick, J Caton",2022.0,"Despite the past decade’s rapid innovation in adapting blockchain technology to new uses, 
financial intermediation remains elusive except in basic and highly collateralized forms. We …",https://www.sciencedirect.com/science/article/pii/S1062976920301162,66
[HTML][HTML] Journal of Behavioral and Experimental Finance: A bibliometric overview,"S Kumar, S Rao, K Goyal, N Goyal",2022.0,"… finance. To gain an understanding of the scientific contributions emerging from all fields 
of finance … to behavioral finance, the Journal of Behavioral and Experimental Finance (JBEF), …",https://www.sciencedirect.com/science/article/pii/S2214635022000181,55
[PDF][PDF] Research on financial informatization construction of business and finance integration,J Gao,2022.0,"… of business finance integration, analyzes the restricting factors of business finance integration 
faced by … of business finance integration information construction based on specific cases. …",https://www.researchgate.net/profile/Jun-Gao-80/publication/361868420_Research_on_Financial_Informatization_Construction_of_Business_and_Finance_Integration/links/62c9829b3bbe636e0c4ffcd0/Research-on-Financial-Informatization-Construction-of-Business-and-Finance-Integration.pdf,37
Firms and social responsibility: A review of ESG and CSR research in corporate finance,"SL Gillan, A Koch, LT Starks",2021.0,"… In this paper we review the research in corporate finance on … Finance so it seems only fitting 
on the 25th anniversary of the journal to focus our review in the context of corporate finance. …",https://www.sciencedirect.com/science/article/pii/S0929119921000092,2250
[BOOK][B] An introduction to Islamic finance,MMT Usmani,2021.0,"Although the principles of Shari'ah require banks and financial institutions to be structured on 
an interest-free basis, this does not mean that such institutions are charitable concerns. As …",https://books.google.com/books?hl=en&lr=&id=qtFKEAAAQBAJ&oi=fnd&pg=PR1&dq=finance&ots=A2zPX284q8&sig=XHaugiaRtYChBKwROIp_EQIRqN4,1835
[BOOK][B] Venture capital and the finance of innovation,"A Metrick, A Yasuda",2021.0,"An invaluable resource for current and aspiring technology investors, Venture Capital and the 
Finance of Innovation provides an in-depth understanding of the tools and models needed …",https://books.google.com/books?hl=en&lr=&id=gXcfEAAAQBAJ&oi=fnd&pg=PA1&dq=finance&ots=Lrk9v7FuPI&sig=oWHslnar9jjNGYHaCvhqeU1d0NI,931
Climate finance,"S Giglio, B Kelly, J Stroebel",2021.0,"In this article, we review the literature studying interactions between climate change and 
financial markets. We first discuss various approaches to incorporating climate risk in …",https://www.annualreviews.org/content/journals/10.1146/annurev-financial-102620-103311,716
"Artificial intelligence and machine learning in finance: Identifying foundations, themes, and research clusters from bibliometric analysis","JW Goodell, S Kumar, WM Lim, D Pattnaik",2021.0,"… on finance-classified journals versus non-finance-classified journals (as classified by the 
2018 Academic Journal Guide) we see that finance … Exceptions include Quantitative Finance, …",https://www.sciencedirect.com/science/article/pii/S2214635021001210,609
"Digital finance, green technological innovation and energy-environmental performance: Evidence from China's regional economies","S Cao, L Nie, H Sun, W Sun",2021.0,"… finance affects energy-environmental performance. The impact mechanism test proves that 
digital finance … Furthermore, we also find that digital finance has a greater stimulus effect on …",https://www.sciencedirect.com/science/article/pii/S0959652621036374,591
"[HTML][HTML] Green finance, fintech and environmental protection: Evidence from China","T Muganyi, L Yan, H Sun",2021.0,"… Green finance refers to financial investments targeted at environmental protection initiatives 
[… of green finance namely green-asset finance, credit & investments [3]. Green finance seeks …",https://www.sciencedirect.com/science/article/pii/S2666498421000314,508
Strategic capitalism: Private business and public purpose in Japanese industrial finance,KE Calder,2021.0,"BRINGING ORDER and purpose to the turbulent world of reality is one of the strongest human 
impulses. Nowhere has it seemed more clearly and urgently a national imperative than in …",https://www.torrossa.com/gs/resourceProxy?an=5576186&publisher=FZO137,493
What do you think about climate finance?,"J Stroebel, J Wurgler",2021.0,"… We survey 861 finance academics, … finance from sophisticated researchers and practitioners 
around the world. We targeted a reasonably select group of finance academics, finance …",https://www.sciencedirect.com/science/article/pii/S0304405X21003494,492
Fintech and access to finance,"H Bollaert, F Lopez",2021.0,"… We discuss existing evidence on how fintech affects access to finance for firms and … of 
finance and its effects. Finally, we discuss the challenges of research in the digital finance area …",https://www.sciencedirect.com/science/article/pii/S0929119921000626,476
Low‐carbon transition risks for finance,"G Semieniuk, E Campiglio, JF Mercure",2021.0,"… For the purposes of analyzing transition risks to finance, we define the low-carbon transition 
as structural economic change: some parts of the economy grow and others decline in …",https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wcc.678,465
Household finance,"F Gomes, M Haliassos, T Ramadorai",2021.0,"Household financial decisions are complex, interdependent, and heterogeneous, and central 
to the functioning of the financial system. We present an overview of the rapidly expanding …",https://www.aeaweb.org/articles?id=10.1257/jel.20201461,438
Invesitigation of finance industry on risk awareness model and digital economic growth,"Y Chen, EK Kumara, V Sivakumar",2021.0,"… But whether digital finance is the solution both the bad and the good results of financial … 
Although there has been a broad-ranging mention of the benefits of digital finance—financial …",https://link.springer.com/article/10.1007/S10479-021-04287-7,400
Research on the impact of green finance on the upgrading of China's regional industrial structure from the perspective of sustainable development,"X Wang, Q Wang",2021.0,"… Finally, based on the results of empirical analysis, this paper explores green finance policy 
… finance, training green finance professionals, and implementing green finance infrastructure. …",https://www.sciencedirect.com/science/article/pii/S0301420721004451,356
[CITATION][C] DeFi and the Future of Finance,CR Harvey,2021.0,DeFi and the Future of Finance DeFi and the Future of Finance …,https://books.google.com/books?hl=en&lr=&id=YCY_EAAAQBAJ&oi=fnd&pg=PR1&dq=finance&ots=9zBDOQbVFp&sig=jMnYGUVpna5GicOPgmijjh4HQo4,346
Regional gap and the trend of green finance development in China,"C Lv, B Bian, CC Lee, Z He",2021.0,"… of green finance, and in order to explore the regional gap, trend evolution, and spatial 
pattern of its green finance development, we need to recognize its current level of green finance …",https://www.sciencedirect.com/science/article/pii/S0140988321003625,338
[BOOK][B] Airline finance,PS Morrell,2021.0,"Revised and updated in its fifth edition, this internationally renowned and respected book 
provides the essentials to understanding all areas of airline finance. Designed to address each …",https://www.taylorfrancis.com/books/mono/10.4324/9781003038191/airline-finance-peter-morrell,290
Savings mobilization: the forgotten half of rural finance,RC Vogel,2021.0,"… Rural finance projects in low-income countries have … being an essential part of rural finance 
policies. It describes in some … is an important objective of rural finance policies. The most …",https://www.taylorfrancis.com/chapters/edit/10.4324/9780429270178-25/savings-mobilization-forgotten-half-rural-finance-robert-vogel,269
Developing low carbon finance index: evidence from developed and developing economies,"M Mohsin, F Taghizadeh",2021.0,"… low carbon finance … finance index, where considerable differences among the variables 
have been observed. Results show that Nepal and Iceland have achieved a low carbon finance …",https://www.sciencedirect.com/science/article/pii/S1544612320300234,265
Sustainable finance and investment: Review and research agenda,"FAFS Cunha, E Meira, RJ Orsato",2021.0,"Sustainable finance and investment (SFI) is key to fostering sustainable global development. 
Research in this field has focused on specific topics, such as the financial performance of …",https://onlinelibrary.wiley.com/doi/abs/10.1002/bse.2842,249
The effect of green finance on energy sustainable development: a case study in China,"B Zhang, Y Wang",2021.0,"… system of green finance development, which fills the absence of existing studies on green 
finance development. The internal development of green finance is transformed into three …",https://www.tandfonline.com/doi/abs/10.1080/1540496X.2019.1695595,176
CeFi vs. DeFi--Comparing Centralized to Decentralized Finance,"K Qin, L Zhou, Y Afonin, L Lazzaretti",2021.0,"To non-experts, the traditional Centralized Finance (CeFi) ecosystem may seem obscure, 
because users are typically not aware of the underlying rules or agreements of financial assets …",https://arxiv.org/abs/2106.08157,172
Big data in finance,"I Goldstein, CS Spatt, M Ye",2021.0,"… the finance industry and has the potential to significantly shape future research in finance. … 
questions across areas in finance—including corporate finance, market microstructure, and …",https://academic.oup.com/rfs/article-abstract/34/7/3213/6210658,166
An introduction to decentralized finance (defi),"JR Jensen, V von Wachter, O Ross",2021.0,"Decentralized financial applications (DeFi) are a new breed of consumer-facing financial 
applications composed as smart contracts, deployed on permissionless blockchain …",https://journals.rtu.lv/index.php/CSIMQ/article/view/csimq.2021-26.03,150
The global alternative finance market benchmarking report,"T Ziegler, R Shneor, K Wenzlaff, B Wang",2021.0,"… Centre for Alternative Finance has consolidated its annual … finance data for 2018. This report 
presents the key findings from the CCAF annual global survey of online alternative finance. …",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3771509,135
Spillover effects in empirical corporate finance,"T Berg, M Reisinger, D Streitz",2021.0,"Despite their importance, the discussion of spillover effects in empirical research often misses 
the rigor dedicated to endogeneity concerns. We analyze a broad set of workhorse models …",https://www.sciencedirect.com/science/article/pii/S0304405X21001690,127
"Experience effects in finance: Foundations, applications, and future directions",U Malmendier,2021.0,"This article establishes four key findings of the growing literature on experience effects in 
finance: (i) the long-lasting imprint of past experiences on beliefs and risk taking; (ii) recency …",https://academic.oup.com/rof/article-abstract/25/5/1339/6371890,97
"[PDF][PDF] Digital finance, green finance and social finance: is there a link?",PK Ozili,2021.0,"… finance, green finance and social finance. Using a simple conceptual model, I show that digital 
finance … The implication is that digital finance is both an enabler and a channel for efficient …",https://sciendo.com/pdf/10.2478/fiqf-2021-0001,80
[BOOK][B] Finance podniku: komplexní pojetí,V Marek,2021.0,"Předkládaná publikace popisuje procesy podniku v podobě jejich finančního vyjádření. 
Zároveň nabízí nástroje optimalizace těchto procesů tak, aby se výsledky projevily v plnění …",https://books.google.com/books?hl=en&lr=&id=dAVZEAAAQBAJ&oi=fnd&pg=PA1&dq=finance&ots=kp5KiMqP2L&sig=DA1d7YiPvhyquvdLIdXmLXAel28,71
Challenges and approaches to regulating decentralized finance,I Salami,2021.0,"… traditional finance. At the time of writing, the total value locked into decentralized finance is 
… , as is currently the case in traditional finance. Yet DeFi presents several challenges that are …",https://www.cambridge.org/core/journals/american-journal-of-international-law/article/challenges-and-approaches-to-regulating-decentralized-finance/1FC6B3EF8DEE460EF534A1F0A5E9DC72,58
